,Fertility,Meat consumption,Regional indicator
407,4.5,13.0,Sub-Saharan Africa
408,4.5,13.0,Sub-Saharan Africa
409,4.5,13.0,Sub-Saharan Africa
410,4.5,13.0,Sub-Saharan Africa
411,4.5,13.0,Sub-Saharan Africa
412,4.5,13.0,Sub-Saharan Africa
413,4.5,13.0,Sub-Saharan Africa
414,4.5,13.0,Sub-Saharan Africa
415,4.5,13.0,Sub-Saharan Africa
416,4.5,13.0,Sub-Saharan Africa
417,4.5,13.0,Sub-Saharan Africa
418,4.5,13.0,Sub-Saharan Africa
419,4.5,13.0,Sub-Saharan Africa
420,4.5,13.0,Sub-Saharan Africa
421,4.5,13.0,Sub-Saharan Africa
422,4.5,13.0,Sub-Saharan Africa
423,4.5,13.0,Sub-Saharan Africa
424,4.5,13.0,Sub-Saharan Africa
425,4.5,13.0,Sub-Saharan Africa
426,4.5,13.0,Sub-Saharan Africa
427,4.5,13.0,Sub-Saharan Africa
428,4.5,13.0,Sub-Saharan Africa
429,4.5,13.0,Sub-Saharan Africa
430,4.5,13.0,Sub-Saharan Africa
431,4.5,6.5,Sub-Saharan Africa
432,4.5,6.5,Sub-Saharan Africa
433,4.5,6.5,Sub-Saharan Africa
434,4.5,6.5,Sub-Saharan Africa
435,4.5,6.5,Sub-Saharan Africa
436,4.5,6.5,Sub-Saharan Africa
437,4.5,6.5,Sub-Saharan Africa
438,4.5,6.5,Sub-Saharan Africa
439,4.5,6.5,Sub-Saharan Africa
440,4.5,6.5,Sub-Saharan Africa
441,4.5,6.5,Sub-Saharan Africa
442,4.5,6.5,Sub-Saharan Africa
443,4.5,6.5,Sub-Saharan Africa
444,4.5,6.5,Sub-Saharan Africa
445,4.5,6.5,Sub-Saharan Africa
446,4.5,6.5,Sub-Saharan Africa
447,4.5,6.5,Sub-Saharan Africa
448,4.5,6.5,Sub-Saharan Africa
449,4.5,6.5,Sub-Saharan Africa
450,4.5,6.5,Sub-Saharan Africa
451,4.5,6.5,Sub-Saharan Africa
452,4.5,6.5,Sub-Saharan Africa
453,4.5,6.5,Sub-Saharan Africa
454,4.5,6.5,Sub-Saharan Africa
455,4.5,6.5,Sub-Saharan Africa
456,4.5,6.5,Sub-Saharan Africa
457,4.5,6.5,Sub-Saharan Africa
458,4.5,6.5,Sub-Saharan Africa
459,4.5,6.5,Sub-Saharan Africa
460,4.5,6.5,Sub-Saharan Africa
461,4.5,6.5,Sub-Saharan Africa
462,4.5,6.5,Sub-Saharan Africa
463,4.5,13.0,Sub-Saharan Africa
464,4.5,13.0,Sub-Saharan Africa
465,4.5,13.0,Sub-Saharan Africa
466,4.5,13.0,Sub-Saharan Africa
467,4.5,13.0,Sub-Saharan Africa
468,4.5,13.0,Sub-Saharan Africa
469,4.5,13.0,Sub-Saharan Africa
470,4.5,13.0,Sub-Saharan Africa
471,4.5,13.0,Sub-Saharan Africa
472,4.5,13.0,Sub-Saharan Africa
473,4.5,13.0,Sub-Saharan Africa
474,4.5,13.0,Sub-Saharan Africa
475,4.5,13.0,Sub-Saharan Africa
476,4.5,13.0,Sub-Saharan Africa
477,4.5,13.0,Sub-Saharan Africa
478,4.5,13.0,Sub-Saharan Africa
479,4.5,13.0,Sub-Saharan Africa
480,4.5,13.0,Sub-Saharan Africa
481,4.5,13.0,Sub-Saharan Africa
482,4.5,13.0,Sub-Saharan Africa
483,4.5,13.0,Sub-Saharan Africa
484,4.5,13.0,Sub-Saharan Africa
485,4.5,13.0,Sub-Saharan Africa
486,4.5,13.0,Sub-Saharan Africa
487,4.5,13.0,Sub-Saharan Africa
488,4.5,13.0,Sub-Saharan Africa
489,4.5,13.0,Sub-Saharan Africa
490,4.5,13.0,Sub-Saharan Africa
491,4.5,13.0,Sub-Saharan Africa
492,4.5,13.0,Sub-Saharan Africa
493,4.5,13.0,Sub-Saharan Africa
494,4.5,13.0,Sub-Saharan Africa
495,4.5,6.5,Sub-Saharan Africa
496,4.5,6.5,Sub-Saharan Africa
497,4.5,6.5,Sub-Saharan Africa
498,4.5,6.5,Sub-Saharan Africa
499,4.5,6.5,Sub-Saharan Africa
500,4.5,6.5,Sub-Saharan Africa
501,4.5,6.5,Sub-Saharan Africa
502,4.5,6.5,Sub-Saharan Africa
503,4.5,6.5,Sub-Saharan Africa
504,4.5,6.5,Sub-Saharan Africa
505,4.5,6.5,Sub-Saharan Africa
506,4.5,6.5,Sub-Saharan Africa
507,4.5,6.5,Sub-Saharan Africa
508,4.5,6.5,Sub-Saharan Africa
509,4.5,6.5,Sub-Saharan Africa
510,4.5,6.5,Sub-Saharan Africa
511,4.5,6.5,Sub-Saharan Africa
512,4.5,6.5,Sub-Saharan Africa
513,4.5,6.5,Sub-Saharan Africa
514,4.5,6.5,Sub-Saharan Africa
515,4.5,6.5,Sub-Saharan Africa
516,4.5,6.5,Sub-Saharan Africa
517,4.5,6.5,Sub-Saharan Africa
518,4.5,6.5,Sub-Saharan Africa
519,4.5,6.5,Sub-Saharan Africa
520,4.5,6.5,Sub-Saharan Africa
521,4.5,6.5,Sub-Saharan Africa
522,4.5,6.5,Sub-Saharan Africa
523,4.5,6.5,Sub-Saharan Africa
524,4.5,6.5,Sub-Saharan Africa
525,4.5,6.5,Sub-Saharan Africa
526,4.5,6.5,Sub-Saharan Africa
527,4.5,13.0,Sub-Saharan Africa
528,4.5,13.0,Sub-Saharan Africa
529,4.5,13.0,Sub-Saharan Africa
530,4.5,13.0,Sub-Saharan Africa
531,4.5,13.0,Sub-Saharan Africa
532,4.5,13.0,Sub-Saharan Africa
533,4.5,13.0,Sub-Saharan Africa
534,4.5,13.0,Sub-Saharan Africa
535,4.5,13.0,Sub-Saharan Africa
536,4.5,13.0,Sub-Saharan Africa
537,4.5,13.0,Sub-Saharan Africa
538,4.5,13.0,Sub-Saharan Africa
539,4.5,13.0,Sub-Saharan Africa
540,4.5,13.0,Sub-Saharan Africa
541,4.5,13.0,Sub-Saharan Africa
542,4.5,13.0,Sub-Saharan Africa
543,4.5,13.0,Sub-Saharan Africa
544,4.5,13.0,Sub-Saharan Africa
545,4.5,13.0,Sub-Saharan Africa
546,4.5,13.0,Sub-Saharan Africa
547,4.5,13.0,Sub-Saharan Africa
548,4.5,13.0,Sub-Saharan Africa
549,4.5,13.0,Sub-Saharan Africa
550,4.5,13.0,Sub-Saharan Africa
551,4.5,13.0,Sub-Saharan Africa
552,4.5,13.0,Sub-Saharan Africa
553,4.5,13.0,Sub-Saharan Africa
554,4.5,13.0,Sub-Saharan Africa
555,4.5,13.0,Sub-Saharan Africa
556,4.5,13.0,Sub-Saharan Africa
557,4.5,13.0,Sub-Saharan Africa
558,4.5,13.0,Sub-Saharan Africa
559,2.9,15.3,Latin America and Caribbean
560,2.5,24.7,Latin America and Caribbean
561,1.6,100.7,Central and Eastern Europe
562,1.7,84.8,Western Europe
563,2.2,5.2,South Asia
564,2.3,8.3,Southeast Asia
565,2.9,23.1,Middle East and North Africa
566,3.7,18.2,Middle East and North Africa
567,1.8,106.3,Western Europe
568,2.4,97.1,Middle East and North Africa
569,1.3,90.4,Western Europe
570,4.6,11.3,Sub-Saharan Africa
571,2.0,56.8,Latin America and Caribbean
572,1.4,45.9,East Asia
573,2.8,29.8,Middle East and North Africa
574,2.8,44.8,Commonwealth of Independent States
575,3.5,14.3,Sub-Saharan Africa
576,3.3,39.0,Commonwealth of Independent States
577,2.7,15.0,Southeast Asia
578,1.6,45.7,Central and Eastern Europe
579,2.1,63.1,Middle East and North Africa
580,3.1,15.4,Sub-Saharan Africa
581,4.3,7.9,Sub-Saharan Africa
582,2.2,28.6,Middle East and North Africa
583,1.6,49.5,Central and Eastern Europe
584,1.4,141.7,Western Europe
585,4.1,17.6,Sub-Saharan Africa
586,4.2,5.1,Sub-Saharan Africa
587,2.0,50.9,Southeast Asia
588,5.9,19.0,Sub-Saharan Africa
589,1.2,86.9,Western Europe
590,4.6,29.9,Sub-Saharan Africa
591,1.4,39.6,Sub-Saharan Africa
592,2.1,58.6,Latin America and Caribbean
593,1.3,22.7,Commonwealth of Independent States
594,2.9,108.8,East Asia
595,3.1,20.6,Middle East and North Africa
596,4.9,5.6,Sub-Saharan Africa
597,3.4,34.0,Sub-Saharan Africa
598,1.9,10.0,South Asia
599,1.6,89.3,Western Europe
600,1.7,142.1,North America and ANZ
601,2.4,14.9,Latin America and Caribbean
602,5.3,11.2,Sub-Saharan Africa
603,5.4,8.6,Sub-Saharan Africa
604,1.6,61.7,Western Europe
605,3.5,12.3,South Asia
606,2.5,54.5,Latin America and Caribbean
607,2.4,70.3,Latin America and Caribbean
608,2.3,34.5,Latin America and Caribbean
609,2.6,31.1,Southeast Asia
610,1.5,78.1,Central and Eastern Europe
611,1.4,91.1,Western Europe
612,1.8,54.5,Central and Eastern Europe
613,1.82,51.0,Commonwealth of Independent States
614,1.6,51.0,Commonwealth of Independent States
615,4.0,4.4,Sub-Saharan Africa
616,2.3,44.6,Middle East and North Africa
617,4.6,17.7,Sub-Saharan Africa
618,4.3,6.1,Sub-Saharan Africa
619,1.1,71.1,Southeast Asia
620,1.6,88.0,Central and Eastern Europe
621,2.4,39.0,Sub-Saharan Africa
622,4.7,13.1,Sub-Saharan Africa
623,1.3,118.6,Western Europe
624,2.2,6.6,South Asia
625,1.8,76.1,Western Europe
626,3.6,8.7,Commonwealth of Independent States
627,4.9,10.0,Sub-Saharan Africa
628,1.5,27.9,Southeast Asia
629,4.3,8.5,Sub-Saharan Africa
630,1.7,57.8,Latin America and Caribbean
631,2.2,25.5,Middle East and North Africa
632,2.1,19.3,Middle East and North Africa
633,2.8,41.7,Commonwealth of Independent States
634,5.0,11.7,Sub-Saharan Africa
635,1.3,32.3,Commonwealth of Independent States
636,1.4,74.4,Middle East and North Africa
637,1.7,79.6,Western Europe
638,1.7,124.8,North America and ANZ
639,2.0,98.6,Latin America and Caribbean
640,2.4,20.7,Commonwealth of Independent States
641,2.3,56.6,Latin America and Caribbean
642,2.0,28.6,Southeast Asia
643,3.8,14.7,Middle East and North Africa
